N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
83,포스코케미칼,"133,000","9,000",+7.26%,"863,573","113,647","132,500","133,000","103,026",75.44,7.92
84,TIGER 여행레저,"5,260",35,-0.66%,"861,440","4,501","5,225","5,230","2,373",N/A,N/A
85,조일알미늄,"2,215",25,+1.14%,"849,634","1,870","2,200","2,205","2,734",14.48,11.25
86,이스타코,"1,930",15,-0.77%,"840,420","1,606","1,915","1,920",827,55.14,3.02
87,한국특강,"3,365",60,-1.75%,"796,530","2,672","3,365","3,370","1,792",4.87,30.23
88,대우건설,"6,550",30,+0.46%,"764,462","4,958","6,450","6,460","27,223",5.62,16.47
89,한온시스템,"11,650",600,+5.43%,"762,956","8,658","11,450","11,500","62,188",20.16,13.83
90,일성건설,"5,270",70,+1.35%,"757,053","3,969","5,260","5,270","2,847",50.19,5.67
91,TIGER 화장품,"2,845",45,-1.56%,"748,897","2,139","2,835","2,840",689,N/A,N/A
92,TIGER 미디어컨텐츠,"9,385",5,+0.05%,"743,955","6,966","9,405","9,415","1,484",N/A,N/A
93,롯데손해보험,"2,030",50,-2.40%,"729,507","1,469","1,995","2,005","6,300",5.26,12.30
94,한솔로지스틱스,"4,030",65,-1.59%,"725,098","2,913","3,980","3,985","1,107",4.71,35.28
95,대영포장,"2,295",0,0.00%,"723,554","1,655","2,280","2,295","2,488",24.68,6.26
96,TIGER KRX2차전지K-뉴딜,"14,310",165,+1.17%,"672,425","9,653","14,300","14,310","4,536",N/A,N/A
97,동양피스톤,"6,900",230,+3.45%,"670,995","4,617","6,940","6,950",909,12.26,7.27
98,에넥스,"2,260",60,-2.59%,"666,360","1,513","2,255","2,260","1,356",13.53,17.95
99,써니전자,"3,170",5,+0.16%,"660,972","2,116","3,170","3,175","1,105",24.57,6.82
100,KODEX K-메타버스액티브,"10,665",50,-0.47%,"658,424","7,045","10,685","10,690","4,325",N/A,N/A
